,company,url
0,A & M Febcon Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03
1,A and M Jumbo Bags Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amjumbobags/JB03
2,A B Infrabuild Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abinfrabuild/I07
3,A F Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprises/AFE01
4,A G Universal Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aguniversal/U02
5,A K S Credits Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/akscredits/AKS
6,A K Spintex Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akspintex/AKS01
7,A P T Yarns Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aptyarns/APT01
8,A-1 Acid  Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/a1acid/AA14
9,A.K.Capital Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/akcapitalservices/AKC01
10,A2Z Infra Engineering  Ltd.,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02
11,AA Plus Tradelink Ltd.,https://www.moneycontrol.com/india/stockpricequote/aaplus/aaplustradelink/APT03
12,AAA Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/aaa/aaatechnologies/ATL
13,Aachal Alloys Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/aachalalloys/AA
14,Aadhaar Ventures India Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aadhaarventuresindia/PI37
15,Aadi Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/aadiindustries/aadiindustries/AI63
16,Aagam Capital Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aagamcapital/PC18
17,Aakar Engineering and Manufacturing Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/aakarengineeringmanufacturingcompany/AEM
18,Aakash Exploration Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01
19,Aamcol Tools Ltd.,https://www.moneycontrol.com/india/stockpricequote/machinetools/aamcoltools/AT01
20,Aananda Lakshmi Spinning Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/aanandalakshmi/aanandalakshmispinningmills/ALS
21,Aanchal Ispat Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36
22,Aankit Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/aankitgranites/AGL
23,AAR COMMERCIAL COMPANY  Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aarcommercialcompany/AAR
24,Aarey Drugs and Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aareydrugspharmaceuticals/ADP
25,Aarnav Fashions Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aarnavfashions/KS18
26,Aaron Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/aaronindustrie/aaronindustries/AI79
27,Aartech Solonics Ltd.,https://www.moneycontrol.com/india/stockpricequote/aartechsolonic/aartechsolonics/AS27
28,Aarti Drugs Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD
29,Aarti Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
30,Aarti Surfactants Ltd.,https://www.moneycontrol.com/india/stockpricequote/aartisurfactan/aartisurfactants/ASL08
31,Aarti Surfactants RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantsre/ASR01
32,Aarti Pharmalabs Ltd.,https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/aartipharmalabs/AP21
33,Aarti Surfactants PP Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantspp/ASP01
34,Aarvee Denim and Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE
35,Aarvi Encon Ltd.,https://www.moneycontrol.com/india/stockpricequote/diversified/aarviencon/AE19
36,Aarya Global Shares and Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/aaryaglobalsharessecurities/KIF02
37,Aasheesh Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aasheeshsecurities/AS12
38,Aashka Hospitals Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/aashkahospitals/AH04
39,Aastamangalam Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/aastafin/aastamangalamfinance/UF01
40,Aaswa Trading and Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/aaswatradingexports/ATE02
41,Aatmaj Healthcare Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aatmajhealthcare/AH11
42,AAVAS Financiers Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17
43,Aayush Food and Herbs Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aayushfoodherbs/AFH01
44,Aditya Birla Capital Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9
45,AB Corp,https://www.moneycontrol.com/india/stockpricequote/abcorp/abcorp/ABC05
46,AB Cotspin India Ltd.,https://www.moneycontrol.com/india/stockpricequote/textiles/abcotspinindia/ACI01
47,Aditya Birla Fashion & Retail-PP Ltd.,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp/ABF01
48,Aditya Birla Fashion & Retail - RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailre/ABF
49,Aditya Birla Money Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/adityabirlamoney/ABM01
50,Aditya Birla Nuvo Ltd.,https://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01
51,Abacus Computers Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abacuscomputers/AC
52,Aban Offshore Ltd.,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04
53,,
54,Abans Holdings Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abansholdings/AH10
55,ABATE AS INDUSTRIES Ltd.,https://www.moneycontrol.com/india/stockpricequote/abateasind/abateasindustries/TI32
56,ABB India Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
57,Abbott India Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
58,ABC Bearings Ltd.,https://www.moneycontrol.com/india/stockpricequote/bearings/abcbearings/ABC02
59,ABC Gas International Ltd.,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/abcgasinternational/BE05
60,ABC India Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC
61,Abco Plastics Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/abcoplastics/AP17
62,Abee Printer Ribbons Ltd.,https://www.moneycontrol.com/india/stockpricequote/computershardware/abeeprinterribbons/APR01
63,Abesc Ltd.,https://www.moneycontrol.com/india/stockpricequote/abesc/abesc/BI19
64,ABG Shipyard Ltd.,https://www.moneycontrol.com/india/stockpricequote/shipping/abgshipyard/ABG01
65,Abhijit Trading Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhijittradingcompany/ATC01
66,Abhinav Capital Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/abhinavcapital/abhinavcapitalservices/ACS04
67,Abhinav Leasing & Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhinavleasingfinance/ALF03
68,Abhishek Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22
69,Abhishek Finlease Ltd.,https://www.moneycontrol.com/india/stockpricequote/abhishekfinle/abhishekfinlease/AF32
70,Abhishek Infraventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abhishekinfraventures/AI73
