,company,url
0,B and A Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/ba/BA06
1,B Arunkumars International Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/barunkumarsinternational/BAI
2,B C Power Controls Ltd.,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/bcpowercontrols/PC13
3,B J Duplex Boards Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/bjduplexboards/BJD
4,B Nanji Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/bnanjienterprises/BNE
5,B P Capital Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/bpcapital/BPC01
6,B Right Realestate Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/brightrealestate/RR10
7,B&A Packaging India Ltd.,https://www.moneycontrol.com/india/stockpricequote/bapackaging/bapackagingindia/BAM01
8,B&B Triplewall Containers Ltd.,https://www.moneycontrol.com/india/stockpricequote/bbtriplewall/bbtriplewallcontainers/BTC
9,B. N. Rathi Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/bnrathi/bnrathisecurities/BNR
10,B.D. Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/bdindustries/BDI01
11,B2B Software Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/b2bsoftwaretechnologies/RFS
12,B4U Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/b4u/BU02
13,Baba Agro Food Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/babaagrofood/SKM01
14,Baba Arts Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/babaarts/GM01
15,Bacil Pharma Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bacilpharma/BP
16,Baffin Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/baffinengineering/BE06
17,Bafna Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01
18,Bafna Spinning Mills and Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/bafnaspinningmillsexports/BSM01
19,BAG Films and Media Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/bagfilmsmedia/BAG
20,Bagade India Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/bagadeindiaengineering/BIE
21,Bagri Minerals and Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/bagrimineralschemicals/BMC
22,Bagwe Udyog Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/bagweudyog/BU
23,Baheti Recycling Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bahetirecyclingindustries/BRI03
24,Bahuma Polytex Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bahumapolytex/BPL06
25,Baid Finserv Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/baidfinserv/BLF
26,Bajaj Auto Ltd.,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
27,Bajaj Consumer Care Ltd.,https://www.moneycontrol.com/india/stockpricequote/personalcare/bajajconsumercare/BC02
28,Bajaj Electricals Ltd.,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE
29,Bajaj Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/bajajfinance/bajajfinance/BAF
30,Bajaj Finserv Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
31,Bajaj Global Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/bajajglobal/BGL
32,Bajaj Healthcare Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/bajajhealthcare/BHL
33,Bajaj Hindusthan Sugar Ltd.,https://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthansugar/BH06
34,Bajaj Holdings & Investment Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI
35,Bajaj Steel Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/bajajsteelindustries/BSI01
36,Bajrang Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajrangfinance/BF
37,Bajwa Agro Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/bajwaagroindustries/BAI04
38,Bal Pharma Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/balpharma/BP02
39,Bala Techno Global Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/balatechnoglobal/BTG
40,Bala Techno Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/balatechnoindustries/BTI02
41,Balaji Amines Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/balajiamines/BA05
42,Balaji Bonds Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/balajibonds/BB07
43,Balaji Distilleries Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/balajidistilleries/BD
44,Balaji Foods and Feeds Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/balajifoodsfeeds/BFF
45,Balaji Galvanising Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/balajigalvanisingindustries/BGI
46,Balaji Hotel and Enterprise Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/balajihotelenterprise/BHE01
47,Balaji Industrial Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/balajiindustrialcorporation/BIC
48,Balaji Steel Tubes and Pipes Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/balajisteeltubespipes/BST
49,Balaji Telefilms Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/balajitelefilms/BT06
50,Balaram Cements Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/balaramcements/BCL03
51,Balasore Alloys Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/balasorealloys/BA9
52,Balaxi Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/balaxipharmaceuticals/TAR
53,BALCO,https://www.moneycontrol.com/india/stockpricequote/balco/balco/BAL
54,Balgopal Commercial Ltd.,https://www.moneycontrol.com/india/stockpricequote/balgopalcommer/balgopalcommercial/BC18
55,Balgopal Holdings & Traders Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/balgopalholdingstraders/BHT01
56,Balkrishna Paper Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/balkrishnapapermills/NPM01
57,Balkrishna Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
58,Ballarpur Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/ballarpurindustries/BI12
59,Balmer Lawrie Investment Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/balmerlawrieinvestment/BLI01
60,Balmer Lawrie Vanleer Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/balmerlawrievanleer/BLV
61,Balmer Lawrie & Co Ltd.,https://www.moneycontrol.com/india/stockpricequote/balmlawrie/balmerlawrieco/BLC
62,Balrampur Chini Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM
63,Balsara Hygiene Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/personalcare/balsarahygieneproducts/BHP
64,Balu Forge Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/machinetools/baluforgeindustries/BAL01
65,Balurghat Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/balurghattechnologies/BT08
66,Balwant Textiles Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/balwanttextilesmills/BTM01
67,Bambino Agro Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/bambinoagroindustries/BAI02
68,BAMPSL Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bampslsecurities/BAM
69,Banaras Beads Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/banarasbeads/BB03
70,Banas Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/banasfinance/BFL02
71,Banas Finance RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/banasfinancere/BFR
72,Banco Products (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bancoproductsindia/BPI
73,Bandaram Pharma Packtech Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/bandarampharmapacktech/SM02
74,Bandhan Bank Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09
75,Bang Overseas Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/bangoverseas/BO02
76,Bangalore Fort Farms Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bangalorefortfarms/BFF01
77,Bangalore Softsell Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/bangaloresoftsell/BS12
78,Banjara Cements Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/banjaracements/BCL06
79,Bank Of Baroda,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB
80,Bank Of India,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI
81,Bank of Madura Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bankmadura/BM
82,Bank of Maharashtra,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05
83,Bank of Punjab Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bankpunjab/BP03
84,Banka Bioloo Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bankabioloo/BB08
85,Banka (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/bankaindia/BI02
86,Nippon India ETF Nifty Bank BeES,https://www.moneycontrol.com/india/stockpricequote/bankbees/nipponindiaetfniftybankbees/BAM02
87,BANKEX,https://www.moneycontrol.com/india/stockpricequote/bankex/bankex/BAN
88,Bannari Amman Spinning Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/bannariammanspinningmills/BAS01
89,BANNARI AMMAN SPINNING MILLS-RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilespinning/bannariammanspinningmillsre/BAS02
90,Bannariamman Sugars Ltd.,https://www.moneycontrol.com/india/stockpricequote/sugar/bannariammansugars/BS07
91,Bansal Multiflex Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bansalmultiflex/BM01
92,Bansal Roofing Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/bansalroofingproducts/BRP01
93,Bansisons Tea Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bansisonsteaindustries/BTI
94,Banswara Syntex Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/banswarasyntex/BS01
95,Banswara Textile Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/banswaratextilemills/BTM02
96,Barak Vally Cements Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/barakvallycements/BVC
97,Barar Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bararindustries/BIL02
98,Barbeque Nation Hospitality Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumerfood/barbequenationhospitality/BNH
99,BARCLAYS11 Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/barclays11/BAR
