,company,url
0,C & C Constructions Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ccconstructions/CCC01
1,C Mahendra Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/cmahendraexports/ME05
2,Cox & Kings Financial Service Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/coxkingsfinancialservice/CKFSL54264
3,C.E. Info Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/software/ceinfosystemsmapmyindia/CIS02
4,Cable Corporation of India Ltd.,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/cablecorporationindia/CCI04
5,Cabot India Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/cabotindia/CI21
6,Cadbury India Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/cadburyindia/CI
7,Cadsys India Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cadsysindia/CI51
8,Cairn India Ltd.,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/cairnindia/CI37
9,Calcom Vision Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/calcomvision/CV
10,Caldyn Aircon Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/caldynaircon/CAL01
11,California Software Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/californiasoftware/CS15
12,Cals Refineries Ltd.,https://www.moneycontrol.com/india/stockpricequote/refineries/calsrefineries/CR03
13,Cambridge Technology Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cambridgetechnologyenterprises/CTE
14,Camex Ltd.,https://www.moneycontrol.com/india/stockpricequote/dyespigments/camex/C96
15,Camlin Fine Sciences Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/camlinfinesciences/CFC03
16,Campus Activewear Ltd.,https://www.moneycontrol.com/india/stockpricequote/footwear/campusactivewear/CA07
17,Computer Age Management Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/cams/computeragemanagementservices/CAM
18,Camson Bio Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/camsonbiotechnologies/CBT
19,Camson Seeds Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/camsonseeds/CS22
20,Can Fin Homes Ltd.,https://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH
21,Cana Glass Ltd.,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/canaglass/CG01
22,Canara Bank,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06
23,Canara Robeco Gold Exchange Traded Fund Ltd.,https://www.moneycontrol.com/india/stockpricequote/canararobeco/canararobecogoldexchangetradedfund/CRG
24,Canara Steel Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/canarasteel/CS10
