,company,url
0,D & H India Ltd.,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/dhindia/DHW
1,D P Wires Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/dpwires/W01
2,D-Link India Ltd.,https://www.moneycontrol.com/india/stockpricequote/computershardware/dlinkindia/DLI01
3,D. P. Abhushan Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dpabhushan/DPA01
4,D.K. Enterprises Global Ltd.,https://www.moneycontrol.com/india/stockpricequote/packagingpackagingmaterials/dkenterprisesglobal/DE07
5,Dabur India Ltd.,https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI
6,Dadrawala Papers Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/dadrawalapapers/DP
7,Daewoo Motors (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/daewoomotorsindia/DMI
8,Daga Leasing & Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/dagaleasingfinance/DLF04
9,Dai-Ichi Karkaria Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/daiichikarkaria/DIK
10,Daikaffil Chemicals India Ltd.,https://www.moneycontrol.com/india/stockpricequote/dyespigments/daikaffilchemicalsindia/DCI01
11,Daisy Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/daisysystems/DS07
12,Daksh eServices Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/daksheservices/DS9
13,Dalal Street Investments Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/dalalstreetinvestments/DSI
14,Dalmia Bharat Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/OCL
15,Dalmia Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/dalmiaindustries/DI01
16,Dalmia Industrial Development Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/dalmiaindustrialdevelopment/DID
17,Dalmia Refractories Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/dalmiarefractories/SNC02
18,Dalmia Bharat Sugar and Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/sugar/dalmiabharatsugarindustries/DCB
19,Damania Capital Markets Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/damaniacapitalmarkets/DCM04
20,Damania Pharma Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/damaniapharma/DP01
21,Damodar Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/damodarindustries/DT
22,Dangee Dums Ltd.,https://www.moneycontrol.com/india/stockpricequote/dangeedums/dangeedums/DD
23,Danin Leathers Ltd.,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/daninleathers/DLL
24,Danlaw Technologies India Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/danlawtechnologiesindia/DTI01
25,Danube Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/danubeind/danubeindustries/DI28
26,DAPS Advertising Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dapsadvertising/DA02
27,Darjeeling Plantation Ind. Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/darjeelingplantationind/DPI
28,Darjeeling Ropeway Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/darjeelingropewaycompanylimited/DRC
29,Darshan Oils Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/darshanoils/DO
30,Darshan Orna Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/darshanorna/DO04
31,Dataline and Research Technologies (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/datalineresearchtechnologiesindia/DRT
32,Data Access (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/dataaccessindia/DAI
33,Data Infrastructure Trust Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructure/datainfrastructuretrust/DIT03
