,company,url
0,E I Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/eigranites/EIG
1,E-Land Apparel Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/elandapparel/ML10
2,E-Metals India Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/emetalsindia/EMI01
3,E-Serve International Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/eserveinternational/ESI04
4,E.Star Infotech  Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/estarinfotech/ESI03
5,E2E Networks Ltd.,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/e2enetworks/EN
6,Earnest Healthcare Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/earnesthealthcare/EH
7,Earthstahl and Alloys Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/earthstahlalloys/EA02
8,Earum Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/earumpharmaceuticals/EP
9,Earum Pharmaceuticals RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/earumpharmaceuticalsre/EPR
10,East Buildtech Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/eastbuildtech/CB01
11,East Coast Steel Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/eastcoaststeel/ECS
12,East India Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/eastindiasecurities/EIS01
13,East West Holdings Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/eastwestholdings/BBA
14,East West Travel and Trade Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/eastwesttraveltrade/EWT
15,East West Travel & Trade Links Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/eastwesttraveltradelinks/EWT01
16,Eastern Circuits Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricals/easterncircuits/ECL
17,Eastern Gases Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/easterngases/EG02
18,Eastern Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/easterngranites/EG
19,Eastern International Hotels Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/easterninternationalhotels/EIH02
20,Eastern Logica Infoway Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/easternlogicainfoway/ELI
21,Eastern Mining and Allied Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/easternminingallied/EMA01
22,Eastern Overseas Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/easternoverseas/EO
23,Eastern Silk Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/easternsilkindustries/ESI06
24,Eastern Sugar and Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/sugar/easternsugarindustries/ESI01
25,Eastern Treads Ltd.,https://www.moneycontrol.com/india/stockpricequote/rubber/easterntreads/ET
26,Easun Reyrolle Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricequipment/easunreyrolle/ER
27,Easy Fincorp Ltd.,https://www.moneycontrol.com/india/stockpricequote/easyfincorp/easyfincorp/KLF
28,Easy Trip Planners Ltd.,https://www.moneycontrol.com/india/stockpricequote/travelservices/easytripplanners/ETP01
29,Bharat Bond ETF - April 2033,https://www.moneycontrol.com/india/stockpricequote/etf/bharatbondetfapril2033/BBE03
30,Ebers Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/eberspharmaceuticals/EP06
31,ECE Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricals/eceindustries/ECE
32,Eclat Chemcials Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/eclatchemcials/EC
33,eClerx Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06
34,Easun Capital Markets Ltd.,https://www.moneycontrol.com/india/stockpricequote/ecml/easuncapitalmarketslimited/EASUN54290
35,Eco Friendly Food Processing Park Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/ecofriendlyfoodprocessingpark/EFF
36,Eco Hotels and Resorts Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/ecohotelsresorts/SFY
37,Eco Recycling Ltd.,https://www.moneycontrol.com/india/stockpricequote/computershardware/ecorecycling/IS10
38,Ecoboard Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/ecoboardindustries/EI16
39,Econo Trade India Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/econotradeindia/ETI01
40,Ecoplast Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/ecoplast/E01
