,company,url
0,F Mec International Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/fmecinternationalfinancialservices/FMI01
1,Fabino Life Sciences Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/fabinolifesciences/FLS
2,Facor Alloys Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/facoralloys/FA
3,Facor Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steellarge/facorsteels/FS06
4,Fact Enterprise Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/factenterprise/FE02
5,Fairchem Organics Ltd.,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/fairchemorganics/FO01
6,Fairdeal Filaments Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/fairdealfilaments/FF
7,Fairdeal Trade Link Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fairdealtradelink/FTL
8,Fairfield Atlas Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/fairfieldatlas/FA01
9,FAL Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/falindustries/FAL
10,Falcon Tyres Ltd.,https://www.moneycontrol.com/india/stockpricequote/tyres/falcontyres/FT
11,Fame India Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/fameindia/FI19
12,Family Care Hospitals Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/familycarehospitals/PO01
13,Family Care Hospitals RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/travelservices/familycarehospitalsre/FCH01
14,Farmax India Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/farmaxindia/FRI
15,Fast Track Entertainment Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/fasttrackentertainment/FTE01
16,Fatpipe Networks India Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fatpipenetworksindia/FNI
17,Faze Three Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/fazethree/FTE
