,company,url
0,G Claridge and Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/gclaridgecompany/GCC
1,G E Capital Transportation Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/gecapitaltransportationfinancialservices/GEC01
2,G G Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/ggengineering/E10
3,G K P Printing & Packaging Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/gkpprintingpackaging/PP29
4,G R Infraprojects Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/grinfraprojects/I09
5,G-Tech Info-Training Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/gtechinfotraining/GS11
6,G.D. Trading & Agencies Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/gdtradingagencies/GDT
7,Gabriel India Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gabrielindia/GI02
8,Gaekwar Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/gaekwarmills/GML
9,Gagan Gases Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/gagangases/GG
10,Gagan Polycot India Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/gaganpolycotindia/GPI01
11,GAIL India Ltd.,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI
12,Gajanan Securities Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/gajanansecuritiesservices/GSS
13,Gajra Bevel Gears Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gajrabevelgears/GBG
14,Gyscoal Alloys RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/ironsteel/gyscoalalloysre/GAR01
15,Gala Global Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/printingstationery/galaglobalproductsltd/GPC
16,Galactico Corporate Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/galacticocorp/galacticocorporateservices/GCS
17,Galada Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/galadafinance/GF15
18,Galada Power and Telecommunications Ltd.,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/galadapowertelecommunications/GPT
19,Galaxy Agrico Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/galaxyagrico/galaxyagricoexports/GAE03
20,Galaxy Bearings Ltd.,https://www.moneycontrol.com/india/stockpricequote/bearings/galaxybearings/GB
21,Galaxy Cloud Kitchens Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/galaxycloudkitchens/GE04
22,Latent Light Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/latentlightfinance/GC21
23,Galaxy Consolidated Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/galaxyconsolidated/GC15
24,Galaxy Surfactants Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06
25,Gallantt Ispat Ltd.,https://www.moneycontrol.com/india/stockpricequote/gallanttispat/gallanttispat/GM02
26,Gallops Enterprise Ltd.,https://www.moneycontrol.com/india/stockpricequote/gallopsent/gallopsenterprise/FL01
27,Galore Prints Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/galoreprintsindustries/GPI06
28,Galvani Batteries Ltd.,https://www.moneycontrol.com/india/stockpricequote/drycells/galvanibatteries/GBL01
29,Gamma Rays Transmissions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/gammaraystransmissions/GRT
30,Gammon India Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gammonindia/GI03
31,Ganapati Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/ganapatiexports/GE03
32,Gandhi Special Tubes Ltd.,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/gandhispecialtubes/GST
33,Gandhidham Spg. & Mfg. Co. Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/gandhidhamspgmfgco/GSM03
34,Gandhinagar Leasing and Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/gandhinagarleasingfinance/GLF
35,Gandhinagar Hotels Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/gandhinagarhotels/GH
36,Ganesh Benzoplast Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/ganeshbenzoplast/GB01
37,Ganesh Films India Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/ganeshfilmsindia/GFI03
38,Shree Ganesh Forgings Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/shreeganeshforgings/SGF02
39,Ganesh Foundry & Castings Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/ganeshfoundrycastings/GFC02
40,Ganesh Holdings Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ganeshholdings/GHL
41,Ganesh Housing Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ganeshhousingcorporation/GHC02
42,Ganesh Leafinvest Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ganeshleafinvest/GL
43,Ganesha Ecosphere Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/ganeshaecosphere/GP01
44,Ganga Forging Ltd.,https://www.moneycontrol.com/india/stockpricequote/gangaforging/gangaforging/GF
45,Ganga Papers India Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/gangapapersindia/KP10
46,Ganga Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gangapharmaceuticals/GPL02
47,Gangadharan Appliances Ltd.,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/gangadharanappliances/GA02
48,Ganges Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/gangessecurities/GS16
49,Gangotri Cement Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/gangotricement/GC
50,Gangotri Iron & Steel Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelrolling/gangotriironsteelcompany/GIS01
51,Gangotri Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/gangotritextiles/GT
52,,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/gujaratfiscon/GF12
53,Ganon Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ganonproductsltd/GTF
54,Garbi Finvest Ltd.,https://www.moneycontrol.com/india/stockpricequote/garbifinvest/garbifinvest/GP13
