,company,url
0,H P M Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/hpmindustries/HPM
1,Haji Manzoor Alam Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/hajimanzooralamindustries/HMA
2,Halder Venture Ltd.,https://www.moneycontrol.com/india/stockpricequote/otheragricultureproducts/halderventurelimited/HALDE53985
3,Haldyn Glass Ltd.,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/haldynglass/HGG
4,Hallmark Healthcare Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/hallmarkhealthcare/HH
5,HAMCO Mining and Smelting Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/hamcominingsmelting/HAM
6,HAMCO Steels & Alloys Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/hamcosteelsalloys/HAM01
7,Hamilton Shoes Ltd.,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/hamiltonshoes/HS01
8,Hani Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/haniindustries/H
9,Hanil Era Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/hanileratextiles/HET
10,Hanjer Fibres Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/hanjerfibres/HF
11,Hanman Fit Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hanmanfit/PFA01
12,Hans Polyurethanes Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/hanspolyurethanes/HP06
13,Hansaflon Plasto Chem Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hansaflonplastochem/HPC02
14,Hanuman Tea Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/hanumanteacompany/HTC
15,Hanung Toys and Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hanungtoystextiles/HTT
16,Happiest Minds Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/happiestmindstechnologiesltd/HMT01
17,Hardcastle and Waud Manufacturing Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/hardcastlewaudmanufacturingcompany/HWM
18,Hardwyn India Ltd.,https://www.moneycontrol.com/india/stockpricequote/aluminium/hardwynindia/GI34
19,Hare Krishna Investment & Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/harekrishnainvestmentindustries/HKI01
20,Hari Govind International Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/harigovindinternational/HGI
21,Haria Apparels Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/hariaapparels/HA05
22,Haria Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/hariaexports/HE
23,Harig Crankshaft Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/harigcrankshaft/HC
24,Hariom Pipe Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/ironsteel/hariompipeindustries/HPI02
25,Hariparvat Merry Land and Resort Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/hariparvatmerrylandresort/HML
26,Harisiddha Trading & Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/harisiddhatradingfinance/HTF
27,Harita Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/haritafinance/HF01
28,Harita Seating Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/haritaseatingsystems/HSS02
29,Hariyana Ship Breakers Ltd.,https://www.moneycontrol.com/india/stockpricequote/shipping/hariyanashipbreakers/HSB
30,Hariyana Ventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/hariyanaventures/HM01
31,Harleystreet Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/harleystreetpharmaceuticals/HPL
32,Harmony Capital Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/harmonycapitalservices/HCS
33,Harpartap Steel Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/harpartapsteel/HSL
34,Harrisons Malyalam Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/harrisonsmalyalam/HM02
35,Harsh Polymers (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/harshpolymersindia/HPI
36,Harsha Engineers International Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/harshaengineersinternational/HEI
37,Harshita Organics Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/harshitaorganics/HO
38,Harshvardhan Chemicals and Minerals Ltd.,https://www.moneycontrol.com/india/stockpricequote/fertilisers/harshvardhanchemicalsminerals/HCM
39,Hartron Communications Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/hartroncommunications/HC01
40,Hartron Networks Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/hartronnetworks/HN
41,Harvic Management Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/harvicmanagementservices/HMS
42,Haryana Breweries Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/haryanabreweries/HB
43,Haryana Capfin Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/haryanacapfin/HC11
44,Haryana Financial Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/haryanafinancialcorporation/HFC02
45,Haryana Leather Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/haryanaleatherchemicals/HLC01
46,Haryana Petrochemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/haryanapetrochemicals/HP01
