,company,url
0,I Power Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/ipowersolutions/IPS01
1,,
2,IB Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/ibindustries/IBI
3,IB Infotech Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/ibinfotechenterprises/IB
4,IBMFNIFTY Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ibmfnifty/IBMFN9937
5,IBP Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/refineries/ibpcompany/IBP
6,Iccon Oil and Specialities Ltd.,https://www.moneycontrol.com/india/stockpricequote/lubricants/icconoilspecialities/IOS
7,ICDS Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/icds/ICD
8,ICE Make Refrigeration Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icemakerefrigeration/IMR
9,ICES Software Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/icessoftware/IS08
10,Ichalkaranji Soya Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/ichalkaranjisoya/IS
11,ICICI Bank Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02
12,ICICI Bank (PP) Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibankpp/IB05
13,ICICI Lombard General Insurance Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/icicilombard/icicilombardgeneralinsurancecompany/ILG
14,ICICI Power Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/icicipower/ICI04
15,ICICI PP Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/icicipp/ICI08
16,ICICI Premier Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/icicipremier/ICI03
17,ICICI Prudential Life Insurance Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01
18,ICICI Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icicisecuritiesltd/ISL04
19,ICICI10GS Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icici10gs/ICICI13143
