,company,url
0,K C C Software Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kccsoftware/KCC02
1,K Dhandapani and Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/kdhandapanicompany/KDC
2,K K Fincorp Ltd.,https://www.moneycontrol.com/india/stockpricequote/kkfincorp/kkfincorp/KII01
3,K&R Rail Enginerring Ltd.,https://www.moneycontrol.com/india/stockpricequote/krrailengine/krrailenginerring/GCI02
4,K.P. Energy  Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kpenergy/KEL04
5,K.R.Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/krfoods/KRF
6,Kaarya Facilities & Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaaryafacilitiesservices/KFS05
7,Kaashyap Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kaashyaptechnologies/KT05
8,Kabra Agro Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/kabraagroindustries/KAI
9,Kabra Commercial Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/kabracommercial/KC16
10,Kabra Drugs Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kabradrugs/KD
11,Kabra Extrusion Technik Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/kabraextrusiontechnik/KET
12,Kabsons Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kabsonsindustries/KI12
13,Kailash Auto Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/kailashautofinance/KAF
14,Kaira Can Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/kairacancompany/KCC01
15,,
16,Kajal Synthetics & Silk Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/kajalsyntheticssilkmills/KSS01
17,Kajaria Ceramics Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06
18,Kakatiya Cements Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/kakatiyacements/KC01
19,Kakatiya Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/kakatiyatextiles/KT
20,Kalindee Rail Nirman (Engineers) Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/kalindeerailnirmanengineers/KRN
21,Kalinga Cement Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/kalingacement/KC02
22,Kallam Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/kallamtextiles/KSM
23,Kallam Textiles RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilespinning/kallamtextilesre/KTR
24,Kalpa Commercial Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/kalpacommercial/KC15
25,Kalpavriksha Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kalpavrikshaindustries/KI22
26,Kalptaru Papers Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/kalptarupapers/KP13
27,Kals Information Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kalsinformationsystems/KIS
28,Kalyan Capitals Ltd.,https://www.moneycontrol.com/india/stockpricequote/kalyancapitals/kalyancapitals/AMI
29,Kalyan Jewellers India Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondjewellery/kalyanjewellersindia/KJI01
30,Kalyan Marine & Agro Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/aquaculture/kalyanmarineagroproducts/KMA
31,Kalyani Commercials Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/kalyanicommercials/KC18
32,Kalyani Forge Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/kalyaniforge/KF02
33,Kalyani Investment Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/kalyaniinvestmentcompany/KIC04
34,Kalyani Refineries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kalyanirefineries/KR
35,Kalyani Seamless Tubes Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kalyaniseamlesstubes/KST
36,Kalyani Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelrolling/kalyanisteels/KS01
37,Kalyanpur Cements Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/kalyanpurcements/KCL01
38,Kamadgiri Fashion Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/kamadgirifashion/KS02
39,Kamakshi Housing Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financehousing/kamakshihousingfinance/KHF
40,Kamal Overseas Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kamaloverseas/KO03
41,Kamala Tea Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/kamalateacompany/KTC01
42,Kamaldeep Synthetic Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/kamaldeepsynthetic/KSL03
43,Kamanwala Housing Construction Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/kamanwalahousingconstruction/KHC01
44,Kamar Chemicals and Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/kamarchemicalsindustries/KCI03
45,Kamat Hotels (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/kamathotelsindia/KHI
46,Kamdhenu Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kamdhenu/KI24
47,Kameshwari Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/kameshwariindustries/KIL03
48,Kamini Ispat Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kaminiispat/KIL04
49,Kamdhenu Ventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kamdhenuventures/KV04
50,Kampani Consultants Limitd Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/kampaniconsultantslimitd/KCL
51,Kamper Concast Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kamperconcast/KC10
52,Kanaiya Foods(I) Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/kanaiyafoodsi/KFI02
53,Kanakdhara Steel Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kanakdharasteel/KSL01
54,Kanan Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kanansteels/KSL02
55,Kanani Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/kananiindustries/KI26
56,Kanchan International Ltd.,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/kanchaninternational/KI03
57,Kanchi Karpooram Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/kanchikarpooram/KK01
58,Kanco Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescottonblended/kancoenterprises/KE08
59,Kanco Tea and Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/kancoteaindustries/KTI05
60,Kandagiri Spinning Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/kandagirispinningmills/KSM01
61,Kandarp Digi Smart BPO Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kandarpdigismartbpo/KDS
62,Kandhari Rubbers Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kandharirubbers/KR01
63,Kanel Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/kanelindustries/KOE02
64,Kanha Vanaspati Ltd.,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/kanhavanaspati/KV
65,Kanika Infocom Global Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kanikainfocomglobal/KIG
66,Kanishk Steel Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelrolling/kanishksteelindustries/KSI01
67,Kankariya Chemical Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/kankariyachemicalindustries/KCI05
68,Kanohar Electricals Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricequipment/kanoharelectricals/KEL
69,Kanoria Chemicals and Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/kanoriachemicalsindustries/KCI01
70,Kanoria Dyechem Ltd.,https://www.moneycontrol.com/india/stockpricequote/dyespigments/kanoriadyechem/KD01
71,Kanoria Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/kanoriaindustries/KI04
72,Kanoria Petroproducts Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/kanoriapetroproducts/KP05
73,Kanoria Plastchem Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/kanoriaplastchem/KP01
74,Kanpur Plastipacks Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/kanpurplastipacks/KP02
75,Kanpur Plastipack Limited,https://www.moneycontrol.com/india/stockpricequote/kanpurplastipa/kanpurplastipacklimited/KANPR89014
76,Kansai Nerolac Paints Ltd.,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP
77,Kanthal Bimetals Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kanthalbimetals/KB01
78,Kanumanek Trading Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/kanumanektradingcompany/KTC02
79,Kanungo Financiers Ltd.,https://www.moneycontrol.com/india/stockpricequote/kanungofinanci/kanungofinanciers/KF18
80,Kanva Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/kanvafinance/KF04
81,Kanva Hydro Chem Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/kanvahydrochem/KHC
82,Kapil Cotex Ltd.,https://www.moneycontrol.com/india/stockpricequote/kapilcotexltd/kapilcotex/KCL02
83,Kapil Raj Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/kapilrajfinancelimited/KRF01
84,Kappac Pharma Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kappacpharma/KP03
85,Kaprinas Pharmaceuticals and Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kaprinaspharmaceuticalschemicals/KPC
86,Kapston Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/kapstonservice/kapstonservices/KFM
87,Kar Mobiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/karmobiles/KM06
88,Karamchand Harichand Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/karamchandharichandsteels/KHS01
89,Karan Fibres and Fabrics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/karanfibresfabrics/KFF
90,Karan Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/karanfinance/KFL
91,Karan Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/karanindustries/KI05
92,Karan Woo-Sin Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/karanwoosin/KWS
93,Kareems Silk International Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/kareemssilkinternational/KSI04
94,Kareems Spun Silk Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/kareemsspunsilk/KSS
