,company,url
0,L&T Finance Holdings Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH
1,L&T Technology Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/lttechnology/lttechnologyservices/LTS
2,L&T Finance Holdings - RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/ltfinanceholdingsre/LFH01
3,La Medical Devices Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/lamedicaldevices/LMD
4,La Opala RG Ltd.,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/laopalarg/LOR
5,La Tim Metal & Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/machinetools/latimmetalindustries/DMC02
6,Labelkraft Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/labelkrafttechnologies/LT03
7,Labh Construction Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/labhconstruction/LC
8,Lactose (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lactoseindia/LI
9,Ladam Affordable Housing Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ladamaffordablehousing/LAH
10,Ladam Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ladamfinance/LF07
11,Ladam Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelrolling/ladamsteels/LS
12,Ladderup Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/ladderupfinance/LF01
13,Laffans Petrochemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/laffanspetrochemicals/LP
14,Lagnam Spintex  Ltd.,https://www.moneycontrol.com/india/stockpricequote/lagnamspintex/lagnamspintex/LS01
15,Lahoti Overseas Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/lahotioverseas/LO01
16,Lakeland Hotels Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/lakelandhotels/LHL
17,Lakhani India Ltd.,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/lakhaniindia/LI01
18,Lakhotia Polyesters Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/lakhotiapolyesters/LP09
19,Lakshana Cotton Spinning Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/lakshanacottonspinningmills/LCS
20,Lakshmi Auto Components Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lakshmiautocomponents/LAC
21,Lakshmi Cement And Ceramics Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/lakshmicementandceramicsindustries/LCA
22,Lakshmi Electrical Control Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricequipment/lakshmielectricalcontrolsystems/LEC
23,Lakshmi Energy and Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/lakshmienergyfoods/LEF
24,Lakshmi Finance and Industrial Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/lakshmifinanceindustrialcorporation/LFI01
25,Lakshmi Automatic Loom Works Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/lakshmiautomaticloomworks/LAL
26,Lakshmi Machine Works Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/lakshmimachineworks/LMW
27,Lakshmi Mills Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/lakshmimillscompany/LMC
28,Lakshmi Precision Screws Ltd.,https://www.moneycontrol.com/india/stockpricequote/fasteners/lakshmiprecisionscrews/LPS
29,Lakshmi Synthetic Machinery Mfrs. Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/lakshmisyntheticmachinerymfrs/LSM
30,Lakshmi Trade Credits Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/lakshmitradecredits/LTC02
31,Lakshmi Vilas Bank Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/lakshmivilasbank/LVB
32,Lalbhai Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/lalbhaifinance/LF02
33,Lalit Polymers and Eelctronics Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/lalitpolymerseelctronics/LPE
34,Lambodhara Textile Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/lambodharatextile/LT02
35,Lan Eseda Software Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/lanesedasoftwaresystems/LES01
36,Lancer Containers Lines Ltd.,https://www.moneycontrol.com/india/stockpricequote/shipping/lancercontainerslines/LCL
37,Lanco Infratech Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/lancoinfratech/LI10
38,Lancor Holdings Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/lancorholdings/LH
39,Landmarc Leisure Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/landmarcleisurecorporation/LLC
40,Landmark Cars Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/landmarkcars/LC07
41,Landmark Property Development Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/landmarkpropertydevelopmentcompany/LPD
42,Lanyard Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/lanyardfoods/LF08
43,Larite Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lariteindustries/LIL01
44,Larsen & Toubro Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/larsentoubro/LT
45,Lasa Supergenerics Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/lasasupergenerics/LS06
46,Laser Diamonds Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/laserdiamonds/LDL
47,Laser Lamps (Haryana) Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/laserlampsharyana/LLH
48,Last Mile Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/lastmileent/lastmileenterprises/TFR
49,Latent View Analytics Ltd.,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/latentviewanalytics/LVA
50,Latteys Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/compressorspumps/latteysindustries/LI13
51,Laurus Labs Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lauruslabs/LL05
52,Lawa Coated Papers Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/lawacoatedpapers/LCP
53,Laxmi Cotspin Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/laxmicotspin/LC03
54,Laxmi Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/laxmigranites/LGL
55,Laxmi Organic Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/laxmiorganicindustries/LOI
56,Laxmi Vishnu Textile Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/laxmivishnutextilemills/LVT
57,Laxmipati Engineering Works Ltd.,https://www.moneycontrol.com/india/stockpricequote/shipping/laxmipatiengineeringworks/SVS02
58,Layla Textile And Traders Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/laylatextileandtraders/HP9
59,LCC Infotech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/lccinfotech/LCC
60,LD Textile Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/ldtextileindustries/LDT
61,Le Lavoir Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/lelavoir/RTH
62,Le Waterina Resorts & Hotels Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/lewaterinaresortshotels/HIL
63,Lead Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/leadfinancialservices/LFS
64,Lead Reclaim and Rubber Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillariestyresrubberproducts/leadreclaimrubberproducts/LRR
65,Leading Leasing Finance And Investment Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/leadingleasingfinanceandinvestmentcompany/LLF
66,Leafin India Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/leafinindia/LI04
67,Leasing Finance India Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/leasingfinanceindia/LFI
68,Ledo Tea Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/ledoteacompany/LTC
69,Lee and Nee Softwares (Exports) Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/leeneesoftwaresexports/LNS
70,LEEL Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/leel/LEE
71,Leela Packaging Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/leelapackaging/LP01
72,Leena Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/leenatextiles/LT01
73,Lehar Footwears Ltd.,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/leharfootwears/LP08
74,Lel Properties Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/lelproperties/LPL
75,Lemon Tree Hotels Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/lemontreehotelsltd/LTH
76,Lerthai Finance  Ltd.,https://www.moneycontrol.com/india/stockpricequote/lerthaifinance/lerthaifinance/MRL
77,Lesha Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/leshaindustries/LI11
78,Lex Nimble Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/lexnimblesolutionsltd/LNS01
79,Lexus Granito(India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/lexusgranitoindia/LG
80,LG Balakrishnan and Brothers Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lgbalakrishnanbrothers/LGB
81,LGB Forge Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/lgbforge/LGB01
82,LGHL Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/lghl/LGHL18475
83,,
84,Libas Consumer Products RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/libasconsumerproductsre/LCP01
85,Liberal Finlease Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/liberalfinlease/LF03
86,Liberty Oil Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/libertyoilmills/LOM
87,Liberty Phosphate Ltd.,https://www.moneycontrol.com/india/stockpricequote/fertilisers/libertyphosphate/LP02
88,Liberty Shoes Ltd.,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/libertyshoes/LS02
89,Libord Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/libordfinance/LI08
90,Libord Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/libordsecurities/LS03
91,Libra Filaments Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/librafilaments/LF05
92,LIC Dhan 88(I) Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/licdhan88i/LIC03
93,LIC Dhanvikas Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/licdhanvikas/LIC01
94,LIC Housing Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC
95,Life Insurance Corporation of India Ltd.,https://www.moneycontrol.com/india/stockpricequote/licindia/lifeinsurancecorporationindia/LIC09
96,LIC MF - LIC MF G-sec LT ETF - GO,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/licmflicmfgsecltetfgo/LIC05
