,company,url
0,M K Proteins Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mkproteins/P09
1,M K Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/mksecurities/MKS
2,M R Organisation Ltd.,https://www.moneycontrol.com/india/stockpricequote/compressors/mrorganisation/MRO02
3,M Ravji Oil Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/mravjioilindustries/MRO01
4,M S Shoes East Ltd.,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/msshoeseast/MSS03
5,Mahindra and Mahindra Ltd.,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM
6,Mahindra & Mahindra Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/mmfinancial/mahindramahindrafinancialservices/MMF04
7,Mahindra & Mahindra Financial Services - RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/mmfsre/mahindramahindrafinancialservicesre/MMF06
8,Maa Jagdambe Tradelinks Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/maajagdambetradelinks/MJT
9,Maa Leafin and Capital Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/maaleafincapital/MLC
10,Maagh Advertising and Marketing Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/maaghadvertisingmarketingservices/MAM
11,Maan Aluminium Ltd.,https://www.moneycontrol.com/india/stockpricequote/aluminium/maanaluminium/MA03
12,Maars Software International Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/maarssoftwareinternational/MSI
13,Mac Charles (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/maccharlesindia/MCI
14,Mac Hotels Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/machotels/MH05
15,MAC Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/macindustries/MAC
16,Macfos Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/macfos/M22
17,Machino Plastics Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/machinoplastics/MP
18,Machhar Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/machharindustries/MI63
19,Mack Trading Co Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/macktradingco/MTC01
20,Mackinnon Mackenzie and Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mackinnonmackenziecompany/MMC
21,Macpower CNC Machines Ltd.,https://www.moneycontrol.com/india/stockpricequote/machinetools/macpowercncmachines/MCM03
22,Macro International Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/macrointernational/MIE
23,Macrotech Developers Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructionresidentialcommercialcomplexes/macrotechdevelopers/MD03
24,Madalsa Agrotech Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/madalsaagrotech/MA
25,Madalsa International Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/madalsainternational/MIL10
26,Madhav Copper Ltd.,https://www.moneycontrol.com/india/stockpricequote/madhavcopper/madhavcopper/MC07
27,Madhav Infra Projects Ltd.,https://www.moneycontrol.com/india/stockpricequote/madhavinfrapr/madhavinfraprojects/MIP
28,Madhav Marbles and Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/madhavmarblesgranites/MMG
29,Madhu Refoils & Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/madhurefoilschemicals/MRC01
30,Madhucon Projects Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/madhuconprojects/MP16
31,Madhumilan Fincorp Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/madhumilanfincorp/MF
32,Madhumilan Syntex Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/madhumilansyntex/MS16
33,Madhur Capital and Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/madhurcapitalfinance/MCF
34,Madhur Housing Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/madhurhousingfinance/MHF
35,Madhur Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/madhurindustries/MI54
36,Madhusudan Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/madhusudanindustries/MI10
37,Madhusudan Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/madhusudansecurities/MI01
38,Madhya Bharat Agro Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/madhyabharata/madhyabharatagroproducts/MBA
39,Madhya Pradesh Today Media Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/madhyapradeshtodaymedia/MPT01
40,Madhyavart Exxoil Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/madhyavartexxoil/ME03
41,Madras Aluminium Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/aluminium/madrasaluminiumcompany/MAC01
42,Madras Fertilizers Ltd.,https://www.moneycontrol.com/india/stockpricequote/fertilisers/madrasfertilizers/MF15
43,Madras Hi-Tech Circuits Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricals/madrashitechcircuits/MHT
44,Madras Motor Finance and Guaranty Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/madrasmotorfinanceguaranty/MMF02
45,Madras Motor Finance & Guarantee Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/madrasmotorfinanceguaranteecompany/MMF03
46,Madras Petro Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/madraspetrochemicals/MPC
47,Madura Coats Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/maduracoats/MC18
48,Maegaware Computers Ltd.,https://www.moneycontrol.com/india/stockpricequote/computershardware/maegawarecomputers/MCL
49,Mirae Asset Nifty 100 ESG Sector Leaders ETF,https://www.moneycontrol.com/india/stockpricequote/etf/miraeassetnifty100esgsectorleadersetf/MAN03
