,company,url
0,N P Chewing Gums Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/npchewinggums/NPC01
1,N2N Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/n2ntechnologies/VM03
2,Naapbooks Ltd.,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/naapbooks/N11
3,NABARD - Unsecured Non Convertible Zero Coupon Bon Ltd.,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/nabardunsecurednonconvertiblezerocouponbon/NAB
4,Nachmo Knitex Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/nachmoknitex/NK
5,Nacl Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/naclindustries/NA04
6,Nacro Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/nacrochemicals/NC
7,Naga Dhunseri Group Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/nagadhunserigroup/NDG
8,Nagarjuna Agritech Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nagarjunaagritech/NA03
9,Nagarjuna Drugs Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nagarjunadrugs/ND
10,Nagarjuna Fertilisers and Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/fertilisers/nagarjunafertiliserschemicals/NFC
11,Nagarjuna Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/nagarjunafinance/NF
12,Nagarjuna Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nagarjunagranites/NG
13,Nagarjuna Jiyo Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/aquaculture/nagarjunajiyoindustries/NJI
14,Nagarjuna Oil Refinery Ltd.,https://www.moneycontrol.com/india/stockpricequote/refineries/nagarjunaoilrefinery/NOR
15,Nagpur Alloys Castings Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/nagpuralloyscastings/NAC01
16,Nagpur Power Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/nagpurpowerindustries/NPI04
17,Nagreeka Capital and Infrastructure Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/nagreekacapitalinfrastructure/NCI
18,Nagreeka Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/nagreekaexports/NE
19,Nahar Capital and Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/naharcapitalfinancialservices/NCF
20,Nahar Industrial Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/naharindustrialenterprises/NIE
21,Nahar Fibres Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/naharfibres/NF01
22,Nahar International Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescottonblended/naharinternational/NI14
23,Nahar Poly Films Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/naharpolyfilms/NIH
24,Nahar Spinning Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/naharspinningmills/NSM
25,Nahar Sugar and Allied Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/sugar/naharsugaralliedindustries/NSA
26,Naina Semiconductor Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricals/nainasemiconductor/NSL02
27,Naisargik Agritech (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/naisargikagritechindia/NAI
28,Nakoda Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/nakoda/NTI
29,Nakoda Group of Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nakodagroupindustries/NGo
30,Nakshatra Infrastructure Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/nakshatrainfrastructure/MF08
31,National Aluminium Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC
32,Nalin Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nalinchemicals/NC01
33,Nalin Lease Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/nalinleasefinance/NLF
34,Nalwa Sons Investment Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/nalwasonsinvestment/NSI02
35,Nam Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/namsecurities/NS13
36,Namaste Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/namasteexports/NE02
37,Namtech Electronic Devices Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricals/namtechelectronicdevices/NED
38,Nanavati Ventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondjewellery/nanavativentures/NV02
39,Nandan Denim Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/nandandenim/NE06
40,Nandani Creation Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/nandanicreation/NC09
41,Napa Papers Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/napapapers/NP05
42,Narain Jewels International Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/narainjewelsinternational/NJI01
43,Naraingarh Sugar Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/sugar/naraingarhsugarmills/NSM02
44,Narang Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/narangindustries/NI02
