,company,url
0,O. P. Chains Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/opchains/C14
1,Oasis Infotech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/oasisinfotech/OI10
2,Oasis Media Matrix Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/oasismediamatrix/OMM01
3,Oasis Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/oasissecurities/OS01
4,Oasis Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/oasistextiles/UI06
5,Oasis Tradelink Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/oasistradelink/OT06
6,Oberoi Plastics Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/oberoiplastics/OP
7,Oberoi Realty Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR
8,Objectone Information Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/objectoneinformationsystems/OIS
9,Ocean Agro (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/oceanagroindia/OAI
10,Ocean Infrastructure Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/oceaninfrastructure/OI08
11,Ocean Knits Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/oceanknits/OKL
12,Oceana Software Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/oceanasoftwaresolutions/OSS
13,Oceanaa Biotek Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/oceanaabiotekindustries/OBI
14,Oceanic Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/oceanicfoods/OF03
15,Oceanic Magnetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/oceanicmagnetics/OML
