,company,url
0,P A Seafood Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/aquaculture/paseafoodexports/PAS
1,Procter and Gamble Hygiene and Health Care Ltd.,https://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH
2,P B Films Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pbfilms/F01
3,P E Analytics Ltd.,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/peanalytics/A21
4,P M Telelinnks Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/pmtelelinnks/PMT01
5,P R Cements Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/prcements/PRC01
6,Paam Drugs and Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/paamdrugspharmaceuticals/PDP
7,Paam Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/paampharmaceuticals/PP04
8,Pace Automation Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/paceautomation/PAL04
9,Pace E Commerce Ventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/paceecommerceventures/PCV
10,Pacheli Industrial Finance  Ltd.,https://www.moneycontrol.com/india/stockpricequote/pacheliind/pacheliindustrialfinance/DI09
11,Pacific Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/pacificindustries/PI02
12,Pacific Industries RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsmarblegranitesanitaryware/pacificindustriesre/PIR02
13,Packtech Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/packtechindustries/PI29
14,Pact Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steellarge/pactindustries/PI41
15,Padam Cotton Yarns Ltd.,https://www.moneycontrol.com/india/stockpricequote/padamcotton/padamcottonyarns/PCY
16,Padmalaya Telefilms Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/padmalayatelefilms/PT06
17,Padmanabh Alloys and Polymers Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/padmanabhalloyspolymers/PAP02
18,Padmanabh Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/padmanabhindustries/NI06
19,Padmini Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/padminitechnologies/PT08
20,PAE Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/pae/PAE05
21,Pagaria Energy Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/pagariaenergy/WN
22,Page Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/pageindustries/PI35
23,Pagita Leasing & Finance Co Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/pagitaleasingfinanceco/PLF04
24,Paintex Chemicals (Bombay) Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/paintexchemicalsbombay/PCB
25,Paisalo Digital Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/paisalodigitalltd/SEI03
26,PAKKA Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/pakka/YP01
27,PAL Credit and Capital Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/palcreditcapital/PAL02
28,PAL-Peugeot Ltd.,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/palpeugeot/PAL03
29,Palash Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/palashsecurities/PS19
30,Palaypu Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/palaypufinancialservices/PFS
31,Palco Metals Ltd.,https://www.moneycontrol.com/india/stockpricequote/palcometals/palcometals/PM08
32,Palm Jewels Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/palmjewels/PJ02
33,Palred Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/palredtechnologies/FS05
34,Pals Distilleries Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/palsdistilleries/PD04
35,Palsoft Infosystems Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/palsoftinfosystems/ACF03
36,Pam Raffia Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/pamraffia/PRL
37,Pampasar Dist Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/pampasardist/PD
38,Pamwi Tissues Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/pamwitissues/PTL03
39,Pan Asia Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/panasiaindustries/PAI
40,Pan Asia Global Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/panasiaglobal/PAG
41,Pan Auto Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/panauto/PA01
42,Pan Clothing and Consolidated Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/panclothingconsolidated/PCC
43,Pan Drugs Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/pandrugs/PD02
44,Pan Electroncis (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/panelectroncis/panelectroncisindia/PEI
45,Pan India Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/panindiacorporation/PIC01
46,Pan India Drugs & Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/panindiadrugschemicals/PID
47,Pan India Resort and Land Development Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/panindiaresortlanddevelopment/PIR
48,PANABYTE TECHNOLOGIES Ltd.,https://www.moneycontrol.com/india/stockpricequote/panabytetech/panabytetechnologies/RTE01
49,Panacea Biotec Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/panaceabiotec/PB02
50,Panache Digilife Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/panachedigilife/PD09
51,Panafic Industrials Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/panaficindustrials/PI40
52,Panama Petrochem Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/panamapetrochem/PP02
53,Panasonic Appliances India Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/panasonicappliancesindiacompany/PHA01
54,Panasonic AVC Networks Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/panasonicavcnetworks/PAV
55,Panasonic Energy India Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/drycells/panasonicenergyindiacompany/PEI03
56,Panasonic Carbon India Ltd.,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/panasoniccarbonindia/PCI04
57,Panchmahal Cement Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/panchmahalcementcompany/PCC01
58,Panchmahal Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/panchmahalsteels/PS07
59,Panchsheel Organics Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/panchsheelorganics/PO02
60,Panchvati Holiday Resort Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/panchvatiholidayresort/PHR
61,Pandian Graphites (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/pandiangraphitesindia/PGI01
62,Panjon Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/panjon/P01
63,Panjwani Packaging Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/panjwanipackaging/PPL
64,Pankaj Agro Protinex Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/pankajagroprotinex/PAP
65,Pankaj Piyush Trade & Investment Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/pankajpiyushtradeinvestment/PPT
66,Pankaj Polymers Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/pankajpolymers/PP03
67,Panorama Studios International Ltd.,https://www.moneycontrol.com/india/stockpricequote/panoramastudio/panoramastudiosinternational/AIC04
68,Panoramic Universal Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/panoramicuniversal/PU
69,Pansari Developers Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/pansaridevelopers/PD08
70,Pantaloon Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/pantaloonindustries/PI30
71,Panth Infinity Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/panthinfinity/SB14
72,Panyam Cements and Mineral Inds. Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/panyamcementsmineralinds/PCM
73,Paos Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/paosindustries/RAM
74,Pappilon Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/pappilonexports/PEL03
75,Par Drugs & Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pardrugs/pardrugschemicals/PDC02
76,Parab Infra Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/parabinfra/MFA
77,Parabolic Drugs Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/parabolicdrugs/PD06
78,Paradeep Phosphates Ltd.,https://www.moneycontrol.com/india/stockpricequote/fertilizers/paradeepphosphates/PP33
79,Parag Milk Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/paragmilkfoods/PMF01
80,Paragon Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/paragonfinance/PF04
81,Parakram Technofab Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/parakramtechnofab/PT04
82,Paramone Concepts Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/paramoneconcepts/ZI02
83,Paramount Communications Ltd.,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/paramountcommunications/PC01
84,Paramount Cosmetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/personalcare/paramountcosmetics/PC15
85,Paramount Printpackaging Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/paramountprintpackaging/PP09
86,Paras Defence and Space Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/defence/parasdefencespacetechnologies/PDS01
87,Paras Magnetic Tapes Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/parasmagnetictapes/PMT
88,Paras Petrofils Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/paraspetrofils/PP05
89,Parasrampuria Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/parasrampuriaindustries/PI03
90,Parasrampuria Synthetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/parasrampuriasynthetics/PS01
91,Parekh Aluminex Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/parekhaluminex/PA07
92,,
93,Parekh Platinum Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/parekhplatinum/PP06
94,Parenteral Drugs (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/parenteraldrugsindia/PDI01
95,Parichay Investments Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/parichayinvestments/PIL01
96,Parijat Trading Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/parijattrading/PTL01
97,Pariksha Fin- Invest- Lease Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/parikshafininvestlease/PFI02
98,Parin Furniture  Ltd.,https://www.moneycontrol.com/india/stockpricequote/parinfurniture/parinfurniture/PF07
99,Park Avenue Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/parkavenueengineering/PAE03
100,Parke Davis (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/parkedavisindia/PDI
101,Parker Agrochem E Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/parkeragrocheme/PAE02
102,Parle  Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/parleindustries/PS13
103,Parmanand Mercantile Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/parmanandmercantile/PM05
