,company,url
0,QGO Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/qgofinancelimited/PC21
1,QMS Medical Allied Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/qmsmedicalalliedservices/QMA
2,Quantum Nifty 50 ETF,https://www.moneycontrol.com/india/stockpricequote/qnifty/quantumnifty50etf/QIF
3,Quadpro ITeS Ltd.,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/quadproites/QI01
4,Quadrant Televentures Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/quadrantteleventures/HFC01
5,Qualitron Components Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricals/qualitroncomponents/QCL
6,Quality Foils India Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/qualityfoilsindia/QFI
7,Quality Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/qualitypharmaceuticals/QP
8,Quality RO Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/diversified/qualityroindustries/QRI
9,Quality Steel and Forgings Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/qualitysteelforgings/QSF
10,Quantum Build-Tech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/quantumbuildtech/QBT
11,Quantum Digital Vision Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/quantumdigitalvision/QDV
12,Quantum Gold Fund -Exchange Traded Fund (ETF) Ltd.,https://www.moneycontrol.com/india/stockpricequote/quantumgold/quantumgoldfundexchangetradedfundetf/QGF
13,Quantum Softech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/quantumsoftech/QS
14,Quasar India Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/quasarindia/QI
15,Quess Corp Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/quesscorp/QC
16,Quest Capital Markets Ltd.,https://www.moneycontrol.com/india/stockpricequote/questcapital/questcapitalmarkets/BNK
17,Quest Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/questfinancialservices/QFS
18,Quest Softech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/questsoftech/QS02
19,Quick Heal Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/quickhealtechnologies/QHT
20,Quicktouch Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/quicktouchtechnologies/QT
21,Quint Digital Media Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/quintdigitalmedia/GM03
22,Quint Digital Media RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/media/quintdigitalmediare/QDM
23,Quintegra Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/quintegrasolutions/QS01
24,QVC Realty Co Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/qvcrealtyco/QVC
25,,
