,company,url
0,R B Gupta Financials Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/rbguptafinancials/RBG
1,Reliance ETF Banking,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/relianceetfbanking/RMF02
2,Reliance ETF Gold,https://www.moneycontrol.com/india/stockpricequote/retfgold/relianceetfgold/RMF
3,Reliance ETF Nifty BeEs,https://www.moneycontrol.com/india/stockpricequote/retfniftyb/relianceetfniftybees/RMF03
4,R J Bio-Tech Ltd.,https://www.moneycontrol.com/india/stockpricequote/rjbiotech/rjbiotech/B07
5,R L Agrotech Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/rlagrotech/RLA
6,R M Drip & Sprinklers Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/diversified/rmdripsprinklerssystems/DSS04
7,R Systems International Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/rsystemsinternational/RSI01
8,R&B Denims Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/rbdenims/RD03
9,R.G. Ispat Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/rgispat/RGI
10,R.J. Shah Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/rjshah/RJS
11,Raaj Medisafe India Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/raajmedisafeindia/MSI01
12,Raajratna Metal Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/raajratnametalindustries/RMI
13,Raam Tyres Ltd.,https://www.moneycontrol.com/india/stockpricequote/tyres/raamtyres/RTL
14,Raashi Fertilizers Ltd.,https://www.moneycontrol.com/india/stockpricequote/fertilisers/raashifertilizers/RF01
15,Raasi Cement Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/raasicement/RC10
16,Raasi Ceramics Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/raasiceramicsindustries/RCI01
17,Raasi Leasing Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/raasileasing/RLL
18,Raasi Refractories Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/raasirefractories/RR
19,Race Eco Chain Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/raceecochain/AI08
20,Rachana Infrastructure Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructure/rachanainfrastructure/RI28
21,RACL Geartech Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/raclgeartech/RAC
22,Radaan Mediaworks India Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/radaanmediaworksindia/RMW
23,Radan Multimedia Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/radanmultimedia/RM03
24,Radford Global Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/radfordglobal/RR03
25,Radha Madhav Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/radhamadhavcorporation/RMC
26,Radhagobind Commercial Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/radhagobindcommercial/RCL03
27,Radhakisan Cement Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/radhakisancement/RCL
28,Radhe Developers (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/radhedevelopersindia/RDI
29,Radhika Jeweltech Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/radhikajeweltech/RJI
30,Radhika Polyester Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/radhikapolyester/RP12
31,Radhika Spinning Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/radhikaspinningmills/RSM
32,,
33,Radiant Cash Management Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/radiantcashmanagementservices/RCM04
34,Radiant Rotogravure Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/radiantrotogravure/RR04
35,Radico Khaitan Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/radicokhaitanfinance/RKF
36,Radico Khaitaan Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/radicokhaitaan/RK
37,Radico Khaitan Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01
38,Radix Industries (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/radixindustriesindia/RP19
39,Raghav Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/raghavindustries/RI32
40,Raghav Productivity Enhancers Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/raghavproductivityenhancers/RRM01
41,Raghava Estates and Properties Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/raghavaestatesproperties/RE08
42,Raghoji Cement Manufacturing Co Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/raghojicementmanufacturingco/RCM01
43,Raghu Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/raghuindustries/RIL04
44,Raghunath Cotton & Oil Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/raghunathcottonoilproducts/RCO
45,Raghunath International Ltd.,https://www.moneycontrol.com/india/stockpricequote/cigarettes/raghunathinternational/RI02
46,Raghuvansh Agrofarms Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/raghuvanshagrofarms/RA07
47,Raghuvanshi Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/raghuvanshimills/RML
48,Raghuvir Synthetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/raghuvirsynthetics/RS01
49,Rahi Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/rahichemicals/RC01
50,Rahil Investment and Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/rahilinvestmentfinance/RIF
51,Rahul Merchandising Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/rahulmerchandising/RM01
52,Rai Investments Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/raiinvestments/RIL02
53,Raideep Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/raideepindustries/RI45
54,Rail Vikas Nigam Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/railvikasnigam/RVN
55,Railtel Corporation of India Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservices/railtelcorporationindia/RCo01
56,Rain Calcining Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/raincalcining/RC09
57,Rain Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/rainindustries/RC12
58,Rainbow Childrens Medicare Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/rainbowchildrensmedicare/RCM03
59,Rainbow Denim Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/rainbowdenim/RD01
60,Rainbow Foundations Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/rainbowfoundations/RFL03
61,Rainbow Papers Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/rainbowpapers/RP01
62,RAINBOW FOUNDATIONS RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/otherconstructionmaterials/rainbowfoundationsre/RFR
63,Rajasthan Ambuja Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/rajasthanambujaindustries/RAI
64,Raj Oil Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/rajoilmills/ROM01
65,Raj Packaging Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/rajpackagingindustries/RPI02
66,Raj Prakash Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/rajprakashchemicals/RPC
67,Raj Rayon Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/rajrayonindustries/RR01
68,Raj Rayon Ltd Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/rajrayonltd/RRL01
69,Raj Television Network Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/rajtelevisionnetwork/RTN
70,Raj Tube Manufacturing Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/rajtubemanufacturingcompany/RTM
71,Raja Bahadur International Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/rajabahadurinternational/RBM
72,Rajadhiraj Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/rajadhirajindustries/RIL03
73,RAJAPALAYAM MILLS RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilespinning/rajapalayammillsre/RMR01
74,Rajapalayam Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/rajapalayammills/RM06
75,Rajapalayam Mills - RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilespinning/rajapalayammillsre/RMR
76,Rajashree Polyfil Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/rajashreepolyfil/RP02
77,Rajasthan Balls & Bearings Ltd.,https://www.moneycontrol.com/india/stockpricequote/bearings/rajasthanballsbearings/RBB
78,Rajasthan Breweries Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/rajasthanbreweries/RBL
79,Rajasthan Cylinders and Containers Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/rajasthancylinderscontainers/RCC02
80,Rajasthan Gases Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/rajasthangases/RG
81,Raj Irrigation Pipes and Fittings Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/rajirrigationpipesfittings/RIP
82,Rajasthan Petro Synthetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/rajasthanpetrosynthetics/RPS
83,Rajasthan Polyesters Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/rajasthanpolyesters/RP03
84,Rajasthan Polymers and Resins Ltd.,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/rajasthanpolymersresins/RPR
85,Rajasthan Polyvin Tubes Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/rajasthanpolyvintubes/RPT
86,Rajasthan Tools Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricequipment/rajasthantools/RT
87,Rajath Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/rajathfinance/RFL01
88,Rajdarshan Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/rajdarshanindustries/RI01
89,Rajdhani Leasing & Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/rajdhanileasingindustries/RLI
90,Rajdoot Paints Ltd.,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/rajdootpaints/RP04
91,Rajendra Caterers & Confectioners Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/rajendracaterersconfectioners/ACL02
92,Rajendra Mining Spares Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/rajendraminingsparescompany/RMS
93,Rajesh Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/rajeshexports/RE07
94,Rajesh Global Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/rajeshglobalsolutions/RGS
95,Rajesh Malleables Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/rajeshmalleables/RM02
96,Rajesh Solvex Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/rajeshsolvex/RS02
97,Rajeshwari Cans Ltd.,https://www.moneycontrol.com/india/stockpricequote/packagingpackagingmaterials/rajeshwaricans/RC15
98,Rajeswari Infrastructure  Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/rajeswariinfrastructure/RG01
99,Rajhans Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/rajhansfoods/RF02
100,Rajinder Alloys Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/rajinderalloys/RA
101,Rajinder Pipes Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/rajinderpipes/RP05
102,Rajinder Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/rajindersteels/RS04
103,Rajkamal Synthetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/rajkamalsynthetics/RS18
104,Rajkot Investment Trust Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/rajkotinvestmenttrust/RIT01
105,Rajlaxmi Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/rajlaxmiindustries/RI25
106,Rajnandini Metal  Ltd.,https://www.moneycontrol.com/india/stockpricequote/rajnandinimeta/rajnandinimetal/RM05
107,Rajnish Wellness Ltd.,https://www.moneycontrol.com/india/stockpricequote/personalcare/rajnishwellness/RW
108,Rajoo Engineers Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/rajooengineers/RE
109,Rajputana Investment and Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/rajputanainves/rajputanainvestmentfinance/RIF01
110,Rajratan Global Wire Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/rajratanglobalwire/RGW01
111,Rajratan Synthetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/rajratansynthetics/RSL04
112,Rajsanket Realty Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/rajsanketrealty/SIL02
