,company,url
0,South Asian Petrochem Ltd.,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/southasianpetrochem/SAP04
1,S Chand and Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/printingstationery/schandcompanylimited/CCL
2,S E Power Ltd.,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sepower/SEP03
3,S H Kelkar & Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/shkelkarcompany/KC17
4,S I Capital and Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/sicapitalfinancialservices/SIC02
5,S K International Export Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/skinternationalexport/IE06
6,S Kumars Nationwide Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/skumarsnationwide/SKN
7,S Kumars.com Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/skumarscom/SK01
8,S M Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/smfinance/SMF02
9,S P Apparels Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/spapparels/A
10,S P Finance & Trading Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/spfinancetrading/SPF
11,S S F Ltd.,https://www.moneycontrol.com/india/stockpricequote/aquaculture/ssf/SSF03
12,S T Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/stservices/STS
13,S V Global Mill Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/svglobalmill/SVG02
14,S V J Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/svjenterprises/E14
15,S.M. Gold  Ltd.,https://www.moneycontrol.com/india/stockpricequote/smgold/smgold/SG13
16,S.S. Infrastructure Development Consultants Ltd Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ssinfrastructuredevelopmentconsultantsltd/SID01
17,S.V. Trading & Agencies Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/svtradingagencies/SVT
18,SAAG RR Infra Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/saagrrinfra/SAA01
19,Saamya Biotech India Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/saamyabiotechindia/SBI15
20,Saatal Kaatha & Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/saatalkaathachemicals/SKC
21,SAB Events & Governance Now Media Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/sabeventsgovernancenowmedia/SAB02
