,company,url
0,T Spirutual World Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/tspirutualworld/TSW
1,TAAL Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/taalenterprises/TAA01
2,Taaza International Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/taazainternational/AE16
3,The Anup Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/theanupengineering/ANUP54246
4,TAHMAR ENTERPRISES Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/tahmarenterprises/SP05
5,Tai Chonbang Textile Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/taichonbangtextileindustries/TCT
6,Tai Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/taiindustries/TI03
7,Tainwala Chemicals and Plastics (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/tainwalachemicalsplasticsindia/TCP
8,Taj GVK Hotels & Resorts Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/tajgvkhotelsresorts/TGV
9,Take Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/takesolutions/TS09
10,Taksheel Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/taksheelsolutions/TS05
11,Talavadi Rock & Mineral Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/talavadirockmineralproducts/TRM
12,Talbros Automotive Components Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/talbrosautomotivecomponents/TAC
13,Talbros Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/talbrosengineering/TE15
14,Talwalkars Better value Fitness Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/talwalkarsbettervaluefitness/TBV
15,Talwalkars Healthclubs  Ltd.,https://www.moneycontrol.com/india/stockpricequote/personalcare/talwalkarshealthclubs/TALWG54154
16,Tamarai Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/tamaraimills/TM01
17,Tamboli Capital Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/tambolicapital/TC19
18,Tamilnadu Dadha Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/tamilnadudadhapharmaceuticals/TDP
19,Tamilnadu Jai Bharath Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/tamilnadujaibharathmills/TJB
20,Tamil Nadu Industrial Explosives Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/tamilnaduindustrialexplosives/TNI
21,Tamil Nadu Newsprint and Papers Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/tamilnadunewsprintpapers/TNN
22,Tamilnadu Sponge Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/tamilnadusponge/TS
23,Tamilnadu Steel Tubes Ltd.,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/tamilnadusteeltubes/TST
24,Tamilnadu Telecommunications Ltd.,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/tamilnadutelecommunications/TT01
25,Tamilnad Hospital Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/tamilnadhospital/THL
26,Tamilnadu Petroproducts Ltd.,https://www.moneycontrol.com/india/stockpricequote/detergents/tamilnadupetroproducts/TP13
27,T and I Global Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/tiglobal/TIG
28,Taneja Aerospace and Aviation Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tanejaaerospaceaviation/TAA
29,Tanfac Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/tanfacindustries/TI02
30,Tanla Platforms Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/tanlaplatforms/TS11
31,Tantia Constructions Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/tantiaconstructions/TC15
32,Tanvi Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/tanvifoods/TF06
33,Taparia Tools Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/tapariatools/TT02
34,Tapi Fruit Processing Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumerfood/tapifruitprocessing/TFP
35,Tapuriah Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/tapuriahsteels/TSL01
36,Tara Health Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/tarahealthfoods/THF
37,Tara Jewels Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/tarajewels/TJ01
38,Tara Chand InfraLogistic Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/tarachand/tarachandinfralogisticsolutions/TCL01
39,Tarai Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/taraifoods/TF01
40,Tarang Projects & Consultant Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tarangprojectsconsultant/TPC02
41,Tarapur Transformers Ltd.,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/tarapurtransformers/TT04
42,TARC Ltd.,https://www.moneycontrol.com/india/stockpricequote/tarc/tarc/ARG
43,Tarini International Ltd.,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/tariniinternational/TI12
