,company,url
0,U. H. Zaveri Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/uhzaveri/UHZ
1,U. Y. Fincorp Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/uyfincorp/GS04
2,UB Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/ubengineering/UBE
3,United Breweries Holdings Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/unitedbreweriesholdings/UBH
4,Ube Industries. Ltd.,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/ubeindustries/UI12
5,Ucal Fuel Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
6,Ucal Power Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricequipment/ucalpowersystems/UPS
7,Ucil Leaisng Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ucilleaisng/UL
8,UCO Bank,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/ucobank/UCO
9,Udaipur Cement Works RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/cement/udaipurcementworksre/UCW
10,Udaipur Cement Works Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/udaipurcementworks/JKU
11,Udaipur Phosphates and Fertilizers Ltd.,https://www.moneycontrol.com/india/stockpricequote/fertilisers/udaipurphosphatesfertilizers/UPF
12,Uday Jewellery Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/udayjewelleryindustries/UJI
13,Udayshivakumar Infra Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/udayshivakumarinfra/UI23
14,Uflex Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/uflex/U01
15,UFM Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/ufmindustries/UFM
16,UFO Moviez India Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/ufomoviezindia/UMI03
17,UG Hotels and Resorts Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/ughotelsresorts/UGH
18,Ugar Sugar Works Ltd.,https://www.moneycontrol.com/india/stockpricequote/sugar/ugarsugarworks/USW
19,Ugro Capital Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/ugrocapital/CS08
20,Ujaas Energy Ltd.,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/ujaasenergy/S18
21,Ujjivan Financial Services  Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/ujjivanfinancialservices/UFS01
22,Ujjivan Small Finance Bank Ltd.,https://www.moneycontrol.com/india/stockpricequote/ujjivansmall/ujjivansmallfinancebank/USF
23,,
24,Ultra Wiring Connectivity Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/ultrawiringco/ultrawiringconnectivitysystems/UWC
25,Ultracab India Ltd.,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/ultracabindia/UI20
26,Ultramarine and Pigments Ltd.,https://www.moneycontrol.com/india/stockpricequote/dyespigments/ultramarinepigments/UP02
27,UltraTech Cement Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ultratechcement/UTC01
28,Uma Converter Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/umaconverter/UC05
29,Uma Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/umaexports/UE01
30,Uma Fabrics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/umafabrics/UFL01
31,Uma Maheshwari Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/umamaheshwarimills/UMM
32,Umang Dairies Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/umangdairies/UD01
33,Umang India Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/umangindia/UIL
34,Umedix India Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/umedixindia/UI01
35,UMI Special Steel Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/umispecialsteel/UMI01
36,Umiya Tubes Ltd.,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/umiyatubes/UT03
37,UMS Radio Factory Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricals/umsradiofactory/UMS
38,Uni Abex Alloy Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/uniabexalloyproducts/UAA
