,company,url
0,V B Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vbindustries/VBI
1,V R Films & Studios Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/vrfilmsstudios/FS04
2,V R Woodarts Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vrwoodarts/VRW01
3,V-Guard Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02
4,V-Marc India Ltd.,https://www.moneycontrol.com/india/stockpricequote/cables/vmarcindia/VI23
5,V-Mart Retail Ltd.,https://www.moneycontrol.com/india/stockpricequote/retail/vmartretail/VR03
6,V2 Retail Ltd.,https://www.moneycontrol.com/india/stockpricequote/retail/v2retail/VR02
7,Va Tech Wabag Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/vatechwabag/VTW
8,Vaarad Ventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/vaaradventures/AC25
9,Vadilal Dairy International Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilaldairyinternational/VDI
10,Vadilal Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilalenterprises/VE
11,Vadilal Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/vadilalfinancialservices/VFS
12,Vadilal Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilalindustries/VI01
13,Vadivarhe Speciality Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/vadivarhespecialitychemicals/VSC04
14,Vafa Agro Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/vafaagro/VA01
15,Vaghani Techno-Build Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/vaghanitechnobuild/VTB
16,Vaibhav Global Ltd.,https://www.moneycontrol.com/india/stockpricequote/retail/vaibhavglobal/VG02
17,Vaidya Sane Ayurved Laboratories Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/vaidyasaneayurvedlaboratories/VSA
18,Vaishali Pharma Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/vaishalipharma/VP01
19,Vaishnavi Gold Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/vaishnavigold/MM08
20,Vaishno Cement Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/vaishnocementcompany/VCC
21,Vakrangee Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/vakrangee/VS
22,Vaksons Automobiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/vaksonsautomobiles/VA
23,Valecha Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/valechaengineering/VE06
24,Valiant Communications. Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/valiantcommunications/VC01
25,Valiant Organics Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/valiantorganics/VO03
26,Vallabh Poly Plast International Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/vallabhpolyplastinternational/VPP
27,Vallabh Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/vallabhsteels/VS13
28,Valley Abrasives Ltd.,https://www.moneycontrol.com/india/stockpricequote/abrasives/valleyabrasives/VA02
29,Valley Magnesite Company  Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/valleymagnesitecompany/VMC
30,Valplus Biotech Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/valplusbiotech/VB02
31,Valson Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/valsonindustries/VIL02
32,Value Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/valueindustries/VI20
33,Valuemart Retail Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/valuemartretailsolutions/RPI05
34,Valuemart Info Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/valuemartinfotechnologies/VIT
35,Vama Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vamaindustries/VI17
36,,
37,Vanasthali Textile Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesterrytowels/vanasthalitextileindustries/VTI
38,Vanavil Dyes and Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/dyespigments/vanavildyeschemicals/VDC
39,Vandana Knitwear Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/vandanaknitwear/TK
40,Vani Commercials Ltd.,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/vanicommercials/VC19
41,Vanta Bioscience Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vantabioscience/VB06
42,Vantage Knowledge Academy Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/vantageknowledgeacademylimited/VKA
43,Vantech Industries. Ltd.,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/vantechindustries/VI03
44,Vantel Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/vanteltechnologies/VT07
45,Vapi Paper Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/vapipapermills/VPM
46,Varahi Diamonds Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/varahidiamonds/VDL
47,Varanium Cloud Ltd.,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/varaniumcloud/VC10
48,Vardhaman Wires & Polymers Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/vardhamanwirespolymers/VWP
49,Vardhman Acrylics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/vardhmanacrylics/VA08
50,Vardhman Concrete Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/vardhmanconcrete/SI52
51,Vardhman Holdings Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/vardhmanholdings/VH05
52,Vardhman Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/vardhmanindustries/VI04
53,Vardhman Lab Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/vardhmanlab/VL
54,Vardhman Polytex Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/vardhmanpolytex/VP09
55,Vardhman Special Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/vardhmanspecialsteels/VSS01
56,Vardhman Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/vardhmantextiles/VT10
57,Variman Global Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/varimanglobalenterprises/SFI04
58,Varinder Agro Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/varinderagrochemicals/VAC
59,Varroc Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/varrocengineering/VE08
60,Varun Beverages Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/varunbeverages/VB05
61,Varun Cements Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/varuncements/VC02
62,Varun Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/varunindustries/VI13
63,Varun Mercantile Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/varunmercantile/VML
64,Varun Polymol Organics Ltd.,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/varunpolymolorganics/VPO
65,Varun Seacon Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/varunseacon/VS02
66,Varun Shipping Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/shipping/varunshippingcompany/VSC
67,Varuna Agroproteins Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/varunaagroproteins/VA03
68,Vas Infrastructure Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/vasinfrastructure/VI19
69,Vasa Denticity Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vasadenticity/VD02
70,Vasa Retail and Overseas Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vasaretailoverseaslimited/VRO
71,Vascon Engineers Ltd.,https://www.moneycontrol.com/india/stockpricequote/vasconengineer/vasconengineers/VE01
72,Vashisti Detergents Ltd.,https://www.moneycontrol.com/india/stockpricequote/detergents/vashistidetergents/VD
73,Vasudhagama Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vasudhagamaenterprises/OW
74,Vasundhara Rasayans Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/vasundhararasayans/VR04
75,Vaswani Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/vaswaniindustries/VI14
76,Vatsa Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/vatsacorporation/VC04
77,Vatsa Education Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/vatsaeducation/VE07
78,Vatsa Music Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/vatsamusic/VM05
79,Vaxtex Cotfab Ltd.,https://www.moneycontrol.com/india/stockpricequote/vaxtex/vaxtexcotfab/VC03
80,VB Desai Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/vbdesaifinance/VBD
81,VBC Ferro Alloys Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/vbcferroalloys/VBC
82,VBC Industries  Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vbcindustries/VBC02
83,Vardhan Capital & Finance Limi Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vardhancapitalfinancelimi/VARDH54293
84,VCCL Ltd.,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/vccl/VCC05
85,VCK Capital Market Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/vckcapitalmarketservices/VCK
