,company,url
0,Waa Solar Ltd.,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/waasolar/WS03
1,Waaree Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/waareetech/waareetechnologies/TI16
2,Waaree Renewable Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/waareerenewabl/waareerenewabletechnologies/SA04
3,Wadala Commodities Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/wadalacommodities/WC02
4,Wagend Infra Venture Ltd.,https://www.moneycontrol.com/india/stockpricequote/wagendinfra/wagendinfraventure/AH02
5,Walchand Peoplefirst Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/walchandpeoplefirst/WP02
6,Walchandnagar Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/walchandnagarindustries/WI01
7,Wall Street Housing & Finance Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/wallstreethousingfinancecorporation/WSH
8,Wallfort Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/wallfortfinancialservices/WFS02
9,Walpar Nutritions Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/walparnutritions/WN01
10,Walvekar Farms Food Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/walvekarfarmsfoodproducts/WFF
11,Wanbury Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wanbury/W12
12,Warden Construction & Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/wardenconstructionfinance/WCF
13,WARDWIZARD INNOVATIONS & MOBILITY RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/retailing/wardwizardinnovationsmobilityre/WIM
14,Wardwizard Innovations and Mobility Ltd.,https://www.moneycontrol.com/india/stockpricequote/wardwizardinno/wardwizardinnovationsmobility/MDC02
15,Wardwizard Foods and Beverages Ltd.,https://www.moneycontrol.com/india/stockpricequote/wardwizfbl/wardwizardfoodsbeverages/VP11
16,Warren Tea Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/warrentea/WT
17,Wartsila NSD India Ltd.,https://www.moneycontrol.com/india/stockpricequote/engines/wartsilansdindia/WNS
18,Washington Softwares Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/washingtonsoftwares/WS02
19,Waterbase Ltd.,https://www.moneycontrol.com/india/stockpricequote/aquaculture/waterbase/W04
20,WE WIN LIMITED Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/wewinlimited/SBS01
21,Weal Infotech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/wealinfotech/WI13
22,Wealth First Portfolio Managers  Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/wealthfirstportfoliomanagers/WFP
23,Webel Communication Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/webelcommunicationindustries/WCI
24,Webel Sen Capacitors Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/webelsencapacitors/WSC
25,Websity Infosys Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/websityinfosys/WI14
26,Websol Energy System Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricequipment/websolenergysystem/WSL
27,Weizmann Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/weizmann/W02
28,Welcast Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/welcaststeels/WS
29,Welcome Coir Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/rubber/welcomecoirindustries/WCI01
30,Welcure Drugs and Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/welcuredrugspharmaceuticals/WDP
31,Well Pack Papers and Containers Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/wellpackpaperscontainers/WPP
