,company,url
0,Xchanging Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/xchangingsolutions/CS20
1,Xedd Telecom Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/xeddtelecom/XT
2,Xelpmoc Design and Tech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/xelpmocdesigntech/XDT
3,XL Energy Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/xlenergy/XLT01
4,XLO-Machine Tools Ltd.,https://www.moneycontrol.com/india/stockpricequote/machinetools/xlomachinetools/XLO01
5,XLO-United Clutch Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/xlounitedclutchproducts/XLO
6,Xo - Tronics Ltd.,https://www.moneycontrol.com/india/stockpricequote/computershardware/xotronics/XT01
7,Xpro India Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/xproindia/XI
8,Xtglobal Infotech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/xtglobalinfotech/FIT
9,Xylon Loquitur Distillers and Vintners Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/xylonloquiturdistillersvintners/XLD
10,,
