,company,url
0,Yaan Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/yaanenterprise/yaanenterprises/CT10
1,Yaari Digital Integrated Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/yaaridigital/yaaridigitalintegratedservices/IWS
2,Yama Polymers Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/yamapolymers/YP
3,Yamini Investments Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yaminiinvestments/YIL
4,Yangir Synthetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/yangirsynthetics/YSL
5,Shri Ganesh Spinners Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/shriganeshspinners/SGS
6,Yarn Syndicate Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/yarnsyndicate/YS
7,Yash Chemex Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/yashchemex/YC01
8,YASH INNOVENTURES Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/yashinnoventures/RP10
9,Yash Management and Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yashmanagementfinancialservices/YMF
10,Yash Trading and Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yashtradingfinance/YTF
11,Yasho Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/yashoindustriesltd/YIL01
12,Yashraj Containeurs Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/yashrajcontaineurs/YC
13,Yenepoya Minerals and Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/yenepoyamineralsgranites/YMG
14,Yes Bank Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB
15,YOGI Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yogi/PI04
16,Yogi Pharmacy Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/yogipharmacy/YP02
17,Yogi Polyesters Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/yogipolyesters/YP03
18,Yogi-Sung-Won (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/yogisungwonindia/YSW
19,Yogindera Worsted Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/yoginderaworsted/YW
20,Yokogawa India Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/yokogawaindia/YI02
21,York Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/yorkexports/yorkexports/YE
22,YS Porcelain Tubes India Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ysporcelaintubesindia/YSP
23,Yug Decor Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/yugdecor/YD
24,Yuken India Ltd.,https://www.moneycontrol.com/india/stockpricequote/pumps/yukenindia/YI
25,Yule Financing and Leasing Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/yulefinancingleasingcompany/YFL
26,Yuranus Infrastructure Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/yuranusinfrastructure/YI03
27,Yuvraaj Hygiene Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/yuvraajhygieneproducts/IAS
28,Yuvraj International Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/yuvrajinternational/YI01
29,,
