,company,url
0,Zandu Realty Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/zandurealty/ZPW
1,Zeal Aqua  Ltd.,https://www.moneycontrol.com/india/stockpricequote/aquaculture/zealaqua/ZA
2,Zee Entertainment Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/zeeentertainmententerprises/ZEE
3,Zee Learn Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/zeelearn/ZL01
4,Zee Media Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/zeemediacorporation/ZN
5,Zee Entertainment NCPS Ltd.,https://www.moneycontrol.com/india/stockpricequote/media/zeeentertainmentncps/ZEN
6,Zen Global Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/zenglobalfinance/ZGF
7,Zen Soft Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/zensoftsolutions/ZSS01
8,Zen Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/zentech/zentechnologies/ZT01
9,Zenergy Ltd.,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/zenergy/Z01
10,Zenith Capitals Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/zenithcapitals/ZC01
11,Zenith Computers Ltd.,https://www.moneycontrol.com/india/stockpricequote/computershardware/zenithcomputers/ZC
12,Zenith Fibres Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/zenithfibres/ZF
13,Zenith Global Consultants Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/zenithglobalconsultants/ZGC
14,Zenith Healthcare Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zenithhealthcare/ZH
15,Zenith Infotech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/zenithinfotech/ZI
16,Zenith Steel Pipes & Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/zenithsteelpipesindustries/ZBI
17,Zenith Steel Tubes and Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/zenithsteeltubesindustries/AVS
18,Zenith Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/zenithexports/ZE
19,Zenlabs Ethica Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/zenlabsethica/NT03
20,Zenotech Laboratories Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zenotechlaboratories/ZL
21,Zensar Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/zensartechnologies/ZT02
22,ZF Steering Gear (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/zfsteeringgearindia/ZFS
23,ZF Commercial Vehicle Control Systems India Ltd.,https://www.moneycontrol.com/india/stockpricequote/zfcvindia/zfcommercialvehiclecontrolsystemsindia/WAB
24,Zicom Electronic Security Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricals/zicomelectronicsecuritysystems/ZSS
25,Zigma Software Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/zigmasoftware/GRM02
26,Zillion Medical (Exports) Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/zillionmedicalexports/ZME
27,Zillion Pharmachem Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zillionpharmachem/ZP
28,ZIM Laboratories Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zimlaboratories/ZIMLA54140
29,Zodiac Cements Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/zodiaccements/ZCL
30,Zodiac Clothing Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/zodiacclothingcompany/ZCC
31,Zodiac Energy Ltd.,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/zodiacenergy/ZE01
32,Zodiac-JRD-MKJ Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/zodiacjrdmkj/ZJR
33,Zodiac Ventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/zodiacventures/GIL03
34,Zomato Ltd.,https://www.moneycontrol.com/india/stockpricequote/onlineservices/zomato/Z
35,Zora Pharma Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zorapharma/ZP01
36,Zota Health Care Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zotahealthcare/ZHC
37,Zuari Agro Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/fertilisers/zuariagrochemicals/ZAC
38,Zuari Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/zuarifinance/ZF01
39,Zuari Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/fertilisers/zuariindustries/ZI01
40,Zyden Gentec Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zydengentec/ZG01
41,Zydus Lifesciences Ltd.,https://www.moneycontrol.com/india/stockpricequote/zyduslife/zyduslifesciences/CHC
42,Zydus Wellness Ltd.,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/zyduswellness/ZW01
43,Zylog Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/zylogsystems/ZS
44,,
